Quantidade mensal:
2024-07-31    4755.855110
2024-08-31    4177.927555
2024-09-30    4177.927555
2024-10-31    4177.927555
2024-11-30    4177.927555
2024-12-31    5333.782664
2025-01-31    5410.275598
2025-02-28    4345.752768
2025-03-31    4345.752768
2025-04-30    3280.932299
2025-05-31    3280.932299
2025-06-30    3280.932299

Receita (R$):
2024-07-31    3.972966e+06
2024-08-31    3.030110e+06
2024-09-30    2.866044e+06
2024-10-31    2.962311e+06
2024-11-30    3.078347e+06
2024-12-31    4.460466e+06
2025-01-31    5.005002e+06
2025-02-28    2.951931e+06
2025-03-31    3.082790e+06
2025-04-30    1.614770e+06
2025-05-31    1.718260e+06
2025-06-30    1.624836e+06

Ticket médio (R$):
2024-07-31    874.042271
2024-08-31    754.839451
2024-09-30    724.703303
2024-10-31    762.332022
2024-11-30    802.977578
2024-12-31    915.045230
2025-01-31    945.444082
2025-02-28    706.911001
2025-03-31    743.748402
2025-04-30    550.871213
2025-05-31    584.408931
2025-06-30    574.259979
